bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-485519D9-A015-4E67-8B08-1C800BF549AF,Author,4,,,"Mignosa, A.","Mignosa, A.","Mignosa, A.","Mignosa, A."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-67FFA8DF-2CE9-46A7-8B69-4891FD7160D1,Author,5,,,"Sani, M.","Sani, M.","Sani, M.","Sani, M."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-CA7433EB-9671-4F81-87A2-C2796CF36225,Author,3,,,"Marçal, E.","Marçal, E.","Marçal, E.","Marçal, E."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-F9833E60-4C08-4891-B6B6-938587AC191C,Author,2,,,"Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B."
https://dhwiki.wikibase.cloud/entity/Q259,https://dhwiki.wikibase.cloud/entity/statement/Q259-C33281DA-D4C1-4AFA-BA10-906287BD160F,Author,1,,,"Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al."
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-1BC4F41D-B395-4563-A454-F814D7A3B1E7,Author,5,,,Newman C.,Newman C.,Newman C.,Newman C.
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-62DDA359-5CFE-4E96-92F3-BB55AF4E10D1,Author,3,,,"Marçal, E.","Marçal, E.","Marçal, E.","Marçal, E."
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-771BB143-16EF-48D8-9E0B-9E891F09BC7A,Author,2,,,"Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B."
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-A1D8C28B-CE62-45B1-9B71-17B4760F4077,Author,4,,,"Mignosa, A.","Mignosa, A.","Mignosa, A.","Mignosa, A."
https://dhwiki.wikibase.cloud/entity/Q553,https://dhwiki.wikibase.cloud/entity/statement/Q553-7A3ABB2F-0044-4120-A9A0-7FD20383C870,Author,1,,,ARL Task Force on Wikimedia and Linked Open Data,ARL Task Force on Wikimedia and Linked Open Data,ARL Task Force on Wikimedia and Linked Open Data,ARL Task Force on Wikimedia and Linked Open Data
https://dhwiki.wikibase.cloud/entity/Q275,https://dhwiki.wikibase.cloud/entity/statement/Q275-2B560BEB-D19C-4DDD-8B2F-74800BB68DE1,Editor,1,,,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo
https://dhwiki.wikibase.cloud/entity/Q527,https://dhwiki.wikibase.cloud/entity/statement/Q527-A34880FB-46D0-4BC5-AD0C-00A71205C1BB,Author,4,Imed,Adel,Imed Adel,Imed Adel,Imed Adel,Imed Adel
https://dhwiki.wikibase.cloud/entity/Q574,https://dhwiki.wikibase.cloud/entity/statement/Q574-8DAB465B-048F-4313-A4C0-E48BEBE27532,Editor,5,Sina,Ahmadi,Sina Ahmadi,Sina Ahmadi,Sina Ahmadi,Sina Ahmadi
https://dhwiki.wikibase.cloud/entity/Q526,https://dhwiki.wikibase.cloud/entity/statement/Q526-B708C374-E170-4AB5-A0F4-E31BBE0AF1AE,Author,3,Shqiponja,Ahmetaj,Shqiponja Ahmetaj,Shqiponja Ahmetaj,Shqiponja Ahmetaj,Shqiponja Ahmetaj
https://dhwiki.wikibase.cloud/entity/Q259,https://dhwiki.wikibase.cloud/entity/statement/Q259-42C17788-0332-4A52-95D5-B727D7A312EB,Editor,5,Ángel,Alegre Marco,Ángel Alegre Marco,Ángel Alegre Marco,Ángel Alegre Marco,Ángel Alegre Marco
https://dhwiki.wikibase.cloud/entity/Q563,https://dhwiki.wikibase.cloud/entity/statement/Q563-A4B19602-132C-4418-B717-0E5492579F06,Editor,2,Jon,Alkorta,Jon Alkorta,Jon Alkorta,Jon Alkorta,Jon Alkorta
https://dhwiki.wikibase.cloud/entity/Q446,https://dhwiki.wikibase.cloud/entity/statement/Q446-C118163E-4E8A-46E1-893A-118DD01D9169,Author,2,Mikel,Alonso,Mikel Alonso,Mikel Alonso,Mikel Alonso,Mikel Alonso
